dataset,model,seed,val_hr,val_ndcg,val_auc,test_hr,test_ndcg,test_auc,epochs,val_epoch
support_groups_full_164_loo,mf_baseline,42,0.0602,0.0305,0.5219,0.0422,0.0246,0.5033,20,8
support_groups_full_164_loo,mf_baseline,52,0.0241,0.0109,0.4615,0.0482,0.0268,0.4753,20,2
support_groups_full_164_loo,mf_baseline,62,0.0542,0.0250,0.5215,0.0482,0.0303,0.5154,20,5
support_groups_full_164_loo,mf_baseline,122,0.0843,0.0456,0.5089,0.0723,0.0453,0.5277,20,1
support_groups_full_164_loo,mf_baseline,232,0.0542,0.0308,0.4671,0.0181,0.0082,0.4903,20,7
support_groups_full_164_loo,mf_pl,42,0.0422,0.0205,0.4928,0.0663,0.0430,0.4934,20,2
support_groups_full_164_loo,mf_pl,52,0.0482,0.0227,0.5088,0.0241,0.0122,0.4585,20,1
support_groups_full_164_loo,mf_pl,62,0.0482,0.0303,0.5243,0.0723,0.0482,0.4827,20,4
support_groups_full_164_loo,mf_pl,122,0.0663,0.0435,0.4962,0.0361,0.0230,0.4655,20,4
support_groups_full_164_loo,mf_pl,232,0.0482,0.0224,0.4862,0.0723,0.0396,0.4831,20,1
support_groups_full_164_loo,mlp_baseline,42,0.0181,0.0091,0.4332,0.0361,0.0199,0.4744,20,1
support_groups_full_164_loo,mlp_baseline,52,0.0181,0.0091,0.4435,0.0422,0.0246,0.4638,20,1
support_groups_full_164_loo,mlp_baseline,62,0.0181,0.0136,0.4381,0.0120,0.0049,0.4372,20,1
support_groups_full_164_loo,mlp_baseline,122,0.0241,0.0162,0.4208,0.0060,0.0026,0.4483,20,1
support_groups_full_164_loo,mlp_baseline,232,0.0361,0.0226,0.4282,0.0361,0.0186,0.4851,20,1
support_groups_full_164_loo,mlp_pl,42,0.0482,0.0261,0.4956,0.0602,0.0306,0.4941,20,1
support_groups_full_164_loo,mlp_pl,52,0.0301,0.0202,0.4715,0.0723,0.0434,0.4919,20,1
support_groups_full_164_loo,mlp_pl,62,0.0602,0.0344,0.4901,0.0301,0.0182,0.4656,20,1
support_groups_full_164_loo,mlp_pl,122,0.0482,0.0287,0.4871,0.0663,0.0375,0.5142,20,1
support_groups_full_164_loo,mlp_pl,232,0.0482,0.0281,0.4426,0.0361,0.0189,0.4558,20,3
support_groups_full_164_loo,neumf_baseline,42,0.0181,0.0144,0.4192,0.0301,0.0163,0.4213,20,2
support_groups_full_164_loo,neumf_baseline,52,0.0482,0.0294,0.4952,0.0422,0.0230,0.4592,20,1
support_groups_full_164_loo,neumf_baseline,62,0.0301,0.0242,0.4905,0.0482,0.0254,0.4195,20,1
support_groups_full_164_loo,neumf_baseline,122,0.0422,0.0303,0.4918,0.0482,0.0297,0.4978,20,1
support_groups_full_164_loo,neumf_baseline,232,0.0422,0.0281,0.5003,0.0542,0.0306,0.4757,20,1
support_groups_full_164_loo,neumf_pl,42,0.0422,0.0258,0.5120,0.0422,0.0269,0.4691,20,1
support_groups_full_164_loo,neumf_pl,52,0.0783,0.0418,0.4789,0.0542,0.0330,0.5047,20,1
support_groups_full_164_loo,neumf_pl,62,0.0542,0.0312,0.5384,0.0361,0.0211,0.5178,20,1
support_groups_full_164_loo,neumf_pl,122,0.0542,0.0401,0.5030,0.0602,0.0373,0.4779,20,1
support_groups_full_164_loo,neumf_pl,232,0.0482,0.0257,0.4978,0.0663,0.0328,0.5192,20,1
